"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R5,R4,R2";"R_1206_3216Metric";3;"619";;;
2;"R3,R1";"R_1206_3216Metric";2;"133";;;
3;"BATT2,BATT1";"BatteryHolder_MPD_BC12AAPC_2xAA_noHoles";2;"BatteryPack";;;
4;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
5;"U2";"SO-8_5.3x6.2mm_P1.27mm";1;"AP1509";;;
6;"J3";"PinHeader_2x02_P2.54mm_Vertical";1;"Shitty Add-on";;;
7;"D8";"D_SOD-123";1;"D_Schottky";;;
8;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
9;"L1";"L_1206_3216Metric";1;"47uH";;;
10;"C4,C5";"C_1206_3216Metric";2;".1uF";;;
11;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
12;"D10,D12,D15,D14,D11,D13,D9,D16";"2PLCC_flipped_noHole";8;"Orange";;;
13;"D7,D6";"2PLCC_flipped_noHole";2;"Red";;;
14;"RN2,RN1";"R_Array_Convex_4x1206";2;"240";;;
15;"SW1";"SW_SPST_EVQP0";1;"Reset";;;
16;"D3,D5,D4,D2";"2PLCC_flipped_noHole";4;"Blue";;;
17;"R6";"R_1206_3216Metric";1;"10k";;;
18;"D1";"3.8x1.2mm";1;"White";;;
19;"C1,C2";"C_1206_3216Metric";2;"10uF";;;
20;"C3";"C_1206_3216Metric";1;"1uF";;;
